Location,Latitude,Longitude,Geography_ID
Red Sea,20.0248,38.4931,1
Great Barrier Reef,-18.2988,147.7782,2
Caribbean Sea,14.9768,-75.0233,3
Great Barrier Reef,-18.3152,147.6486,4
Galápagos,-0.8805,-90.9769,5
Red Sea,20.0055,38.4425,6
South China Sea,9.9699,115.0926,7
Red Sea,19.939,38.5104,8
Maldives,3.2397,73.2293,9
Caribbean Sea,14.964,-75.023,10
Galápagos,-0.9376,-90.9849,11
Caribbean Sea,15.0466,-75.042,12
Galápagos,-0.9778,-90.9749,13
South China Sea,10.0678,114.9964,14
Red Sea,20.0181,38.5769,15
South China Sea,10.0411,115.0044,16
Caribbean Sea,14.989,-74.9821,17
Caribbean Sea,14.9749,-74.9542,18
Caribbean Sea,15.0049,-74.9516,19
Maldives,3.1296,73.2355,20
Great Barrier Reef,-18.3579,147.6782,21
Hawaiian Islands,19.917,-155.4885,22
Great Barrier Reef,-18.383,147.6979,23
Great Barrier Reef,-18.272,147.6975,24
Red Sea,20.0396,38.4545,25
Red Sea,20.1095,38.4505,26
Hawaiian Islands,19.8193,-155.5794,27
Galápagos,-0.8763,-91.0048,28
Galápagos,-0.9424,-90.9002,29
Maldives,3.2419,73.1589,30
Red Sea,20.0125,38.5173,31
Great Barrier Reef,-18.3228,147.7925,32
Maldives,3.1541,73.2601,33
Red Sea,20.0206,38.5411,34
South China Sea,9.9555,114.9592,35
Hawaiian Islands,19.9382,-155.5821,36
Caribbean Sea,15.0313,-75.0429,37
Caribbean Sea,15.0357,-74.9763,38
Great Barrier Reef,-18.3094,147.742,39
South China Sea,10.0193,114.9558,40
Galápagos,-0.9359,-90.9376,41
South China Sea,9.9531,115.0258,42
Red Sea,20.0285,38.5568,43
Red Sea,20.0379,38.4614,44
Maldives,3.3185,73.1273,45
Galápagos,-0.8994,-90.9624,46
Great Barrier Reef,-18.3236,147.71,47
Great Barrier Reef,-18.2554,147.5979,48
Galápagos,-0.9934,-90.9713,49
Hawaiian Islands,19.8801,-155.6065,50
South China Sea,9.937,115.0459,51
Red Sea,19.9758,38.5633,52
Hawaiian Islands,19.8505,-155.5858,53
Galápagos,-1.0162,-90.884,54
Great Barrier Reef,-18.215,147.6274,55
South China Sea,10.0231,115.01,56
Galápagos,-0.9481,-90.9325,57
Maldives,3.1052,73.2131,58
Hawaiian Islands,19.8864,-155.6075,59
Red Sea,19.9654,38.545,60
Galápagos,-0.9952,-90.9936,61
Hawaiian Islands,19.9027,-155.5189,62
South China Sea,9.9891,115.0549,63
Great Barrier Reef,-18.286,147.7333,64
South China Sea,10.0048,115.0298,65
South China Sea,9.9393,115.0579,66
Red Sea,19.9994,38.4551,67
Red Sea,19.9926,38.4587,68
Great Barrier Reef,-18.3282,147.7114,69
Maldives,3.2144,73.1483,70
Galápagos,-0.9383,-90.8918,71
Great Barrier Reef,-18.3372,147.6983,72
Hawaiian Islands,19.9228,-155.5062,73
Galápagos,-0.9739,-90.9544,74
Maldives,3.204,73.2456,75
Great Barrier Reef,-18.3255,147.7428,76
Galápagos,-0.9958,-90.9956,77
Caribbean Sea,15.0075,-74.9829,78
South China Sea,9.9551,115.0246,79
Caribbean Sea,14.9765,-75.0857,80
Galápagos,-1.0335,-90.9956,81
Caribbean Sea,15.0311,-75.0534,82
Great Barrier Reef,-18.2515,147.643,83
Maldives,3.1654,73.2983,84
Great Barrier Reef,-18.1841,147.787,85
Maldives,3.2712,73.1725,86
South China Sea,9.9408,114.898,87
Great Barrier Reef,-18.2834,147.7806,88
Red Sea,20.0192,38.4984,89
Galápagos,-0.9203,-90.9473,90
Great Barrier Reef,-18.2902,147.747,91
Galápagos,-0.9934,-90.971,92
Maldives,3.301,73.2225,93
Caribbean Sea,14.989,-74.9693,94
Caribbean Sea,14.9862,-75.1151,95
Red Sea,19.9875,38.5288,96
Caribbean Sea,14.9936,-75.0478,97
Hawaiian Islands,19.8257,-155.6151,98
South China Sea,9.9996,115.074,99
Great Barrier Reef,-18.2602,147.6473,100
Great Barrier Reef,-18.2408,147.7947,101
Great Barrier Reef,-18.3115,147.6696,102
Hawaiian Islands,19.9103,-155.5853,103
South China Sea,10.0378,115.025,104
Great Barrier Reef,-18.3706,147.7264,105
Galápagos,-1.044,-91.047,106
South China Sea,10.0319,114.9169,107
Maldives,3.2052,73.1777,108
Galápagos,-0.912,-91.0221,109
Caribbean Sea,14.9602,-74.9711,110
Great Barrier Reef,-18.2828,147.6914,111
Great Barrier Reef,-18.3077,147.6748,112
Great Barrier Reef,-18.2726,147.803,113
Great Barrier Reef,-18.3075,147.5973,114
Hawaiian Islands,19.8977,-155.499,115
South China Sea,9.8894,115.0118,116
Galápagos,-0.9369,-90.9864,117
Great Barrier Reef,-18.2747,147.6762,118
Hawaiian Islands,19.9004,-155.6067,119
Hawaiian Islands,19.8713,-155.5963,120
Galápagos,-0.916,-91.0117,121
Maldives,3.2966,73.182,122
Red Sea,20.0327,38.4972,123
Caribbean Sea,15.0065,-74.9945,124
South China Sea,9.9605,115.0236,125
Red Sea,19.9744,38.4505,126
Red Sea,19.9154,38.5765,127
Galápagos,-1.0365,-90.9244,128
Hawaiian Islands,19.88,-155.4993,129
Hawaiian Islands,19.8832,-155.7176,130
Great Barrier Reef,-18.1947,147.7555,131
South China Sea,10.003,115.0007,132
South China Sea,9.9713,114.9727,133
Hawaiian Islands,19.9021,-155.5955,134
Hawaiian Islands,19.9591,-155.6865,135
South China Sea,9.9611,114.9445,136
Red Sea,20.0361,38.4435,137
Galápagos,-0.9182,-90.9776,138
South China Sea,9.982,115.058,139
Hawaiian Islands,19.8813,-155.5665,140
Galápagos,-0.9799,-90.9131,141
Hawaiian Islands,19.9271,-155.6468,142
Great Barrier Reef,-18.2765,147.6944,143
Great Barrier Reef,-18.2319,147.7049,144
Hawaiian Islands,19.9122,-155.6683,145
Hawaiian Islands,19.8876,-155.5819,146
South China Sea,10.0098,114.9511,147
Maldives,3.2264,73.2335,148
Great Barrier Reef,-18.3791,147.6352,149
South China Sea,9.9637,115.0093,150
Hawaiian Islands,19.8506,-155.6504,151
Maldives,3.3344,73.2454,152
Great Barrier Reef,-18.3159,147.7053,153
Caribbean Sea,14.9648,-75.0017,154
Great Barrier Reef,-18.2517,147.6711,155
Red Sea,19.9215,38.4636,156
South China Sea,10.0089,114.9332,157
Maldives,3.2568,73.2624,158
Great Barrier Reef,-18.2656,147.7096,159
Great Barrier Reef,-18.2344,147.6972,160
Galápagos,-0.9069,-90.9914,161
Hawaiian Islands,19.8813,-155.5717,162
Galápagos,-0.9631,-90.9876,163
Galápagos,-1.0281,-90.9522,164
Great Barrier Reef,-18.313,147.7697,165
Maldives,3.2755,73.2997,166
South China Sea,9.9328,114.9541,167
Red Sea,20.0117,38.5775,168
Maldives,3.2003,73.2544,169
Great Barrier Reef,-18.2625,147.7137,170
Great Barrier Reef,-18.3183,147.6714,171
Red Sea,19.9715,38.4584,172
Great Barrier Reef,-18.277,147.6234,173
Maldives,3.1834,73.235,174
Great Barrier Reef,-18.2959,147.6593,175
Galápagos,-0.8641,-90.9915,176
Hawaiian Islands,20.0231,-155.6093,177
Red Sea,20.0923,38.5292,178
Maldives,3.2438,73.2461,179
Great Barrier Reef,-18.2547,147.6908,180
Maldives,3.2212,73.201,181
Great Barrier Reef,-18.2848,147.6312,182
Caribbean Sea,14.9846,-74.989,183
Galápagos,-0.9398,-90.9352,184
Hawaiian Islands,19.9505,-155.6341,185
Great Barrier Reef,-18.3633,147.6713,186
Great Barrier Reef,-18.3149,147.7933,187
Maldives,3.1777,73.1696,188
Hawaiian Islands,19.8328,-155.5392,189
Maldives,3.1493,73.1444,190
Maldives,3.1907,73.2383,191
Great Barrier Reef,-18.2312,147.7163,192
Hawaiian Islands,19.9289,-155.5163,193
Hawaiian Islands,19.9688,-155.6166,194
Hawaiian Islands,19.9032,-155.6169,195
Caribbean Sea,14.9055,-75.0226,196
Caribbean Sea,15.0393,-74.9787,197
Great Barrier Reef,-18.345,147.7744,198
South China Sea,10.0104,114.8979,199
Red Sea,19.9859,38.5899,200
Hawaiian Islands,19.9668,-155.5366,201
Great Barrier Reef,-18.2674,147.744,202
South China Sea,10.0659,115.0099,203
Caribbean Sea,15.0099,-75.0326,204
Red Sea,20.0261,38.4713,205
Maldives,3.2246,73.2226,206
Maldives,3.1899,73.1373,207
Hawaiian Islands,19.9755,-155.6441,208
Galápagos,-0.8696,-90.9885,209
Red Sea,20.0442,38.5326,210
Caribbean Sea,14.9687,-74.9802,211
Great Barrier Reef,-18.3207,147.6979,212
Caribbean Sea,15.0386,-75.1424,213
Great Barrier Reef,-18.3431,147.6345,214
Hawaiian Islands,19.8945,-155.5589,215
Red Sea,19.9753,38.4222,216
Great Barrier Reef,-18.3045,147.6817,217
Caribbean Sea,15.0215,-74.9485,218
Hawaiian Islands,19.8932,-155.5847,219
Hawaiian Islands,19.8928,-155.5789,220
Caribbean Sea,15.0499,-75.1448,221
Red Sea,19.948,38.5306,222
Great Barrier Reef,-18.2966,147.7101,223
South China Sea,10.0182,115.1202,224
Red Sea,20.0553,38.5594,225
South China Sea,9.9427,115.0151,226
Red Sea,20.0161,38.5211,227
Great Barrier Reef,-18.2389,147.7587,228
Hawaiian Islands,19.8819,-155.514,229
Red Sea,20.0008,38.4452,230
Galápagos,-1.0034,-91.0733,231
Galápagos,-0.9033,-91.0,232
Hawaiian Islands,19.7718,-155.4683,233
Red Sea,20.122,38.5692,234
South China Sea,10.0379,115.0141,235
Caribbean Sea,14.986,-75.0846,236
Red Sea,20.009,38.5696,237
South China Sea,10.047,114.9509,238
Red Sea,20.0053,38.4333,239
Maldives,3.2248,73.2197,240
Red Sea,20.0063,38.4785,241
Maldives,3.2048,73.1856,242
Hawaiian Islands,19.8346,-155.6174,243
Hawaiian Islands,19.9592,-155.6165,244
Maldives,3.1434,73.2362,245
Caribbean Sea,14.9935,-74.9978,246
Caribbean Sea,14.9721,-75.0685,247
Great Barrier Reef,-18.2051,147.7831,248
Red Sea,19.981,38.4898,249
Maldives,3.1416,73.2224,250
Caribbean Sea,15.0165,-74.9583,251
Red Sea,19.9395,38.5836,252
Caribbean Sea,15.0279,-74.9962,253
Caribbean Sea,14.9293,-75.0056,254
Galápagos,-0.8992,-90.9351,255
Great Barrier Reef,-18.28,147.8152,256
South China Sea,10.0067,114.9924,257
Caribbean Sea,14.9334,-75.0918,258
South China Sea,10.0194,115.1246,259
Galápagos,-0.9587,-90.9196,260
Great Barrier Reef,-18.3205,147.7488,261
Maldives,3.1579,73.2221,262
Hawaiian Islands,19.8955,-155.5419,263
Caribbean Sea,14.9344,-75.0533,264
Galápagos,-0.951,-90.9391,265
Caribbean Sea,14.9012,-75.047,266
Red Sea,20.0765,38.5609,267
Galápagos,-0.9707,-90.9963,268
Caribbean Sea,15.008,-74.9998,269
South China Sea,9.9258,114.8723,270
Caribbean Sea,14.9415,-75.0901,271
Caribbean Sea,14.8704,-75.0273,272
Hawaiian Islands,19.896,-155.5538,273
Maldives,3.1949,73.2193,274
South China Sea,9.9914,115.0856,275
Caribbean Sea,14.9895,-75.0335,276
South China Sea,10.0339,114.9756,277
Hawaiian Islands,19.9118,-155.5177,278
Red Sea,20.023,38.4661,279
South China Sea,10.0092,114.9326,280
Maldives,3.1505,73.2475,281
South China Sea,9.9622,114.9289,282
Red Sea,20.0664,38.5278,283
Red Sea,20.0464,38.5029,284
Great Barrier Reef,-18.2602,147.7528,285
South China Sea,9.9017,115.1028,286
Red Sea,20.0154,38.5408,287
Caribbean Sea,15.0141,-75.0124,288
Red Sea,20.0331,38.5587,289
Great Barrier Reef,-18.3197,147.6728,290
Caribbean Sea,15.0154,-74.9149,291
Galápagos,-1.0418,-90.9279,292
Galápagos,-0.9607,-91.0268,293
Galápagos,-0.9244,-90.8821,294
Caribbean Sea,15.0598,-75.0305,295
Great Barrier Reef,-18.2547,147.6932,296
Caribbean Sea,15.0361,-75.0186,297
Hawaiian Islands,19.9434,-155.6537,298
Great Barrier Reef,-18.3147,147.8271,299
South China Sea,10.1003,115.1031,300
Caribbean Sea,15.0389,-75.0276,301
Caribbean Sea,14.9773,-74.9652,302
Caribbean Sea,14.9429,-75.0097,303
Great Barrier Reef,-18.2932,147.7749,304
Red Sea,20.0611,38.5291,305
Red Sea,20.0544,38.5942,306
South China Sea,10.007,114.9116,307
South China Sea,9.9203,115.0257,308
Caribbean Sea,14.9986,-74.9114,309
South China Sea,10.0234,114.9501,310
Caribbean Sea,14.995,-75.0102,311
Maldives,3.2212,73.2664,312
Red Sea,19.9989,38.4626,313
South China Sea,9.9859,115.0033,314
Maldives,3.2425,73.158,315
Red Sea,19.9982,38.4192,316
Red Sea,20.01,38.5574,317
Caribbean Sea,15.0347,-74.9912,318
South China Sea,9.9464,114.8539,319
South China Sea,9.9495,115.031,320
Galápagos,-0.9629,-90.8969,321
Caribbean Sea,14.9523,-74.9939,322
Hawaiian Islands,19.8822,-155.661,323
Great Barrier Reef,-18.1274,147.7141,324
Caribbean Sea,15.0057,-75.0719,325
Red Sea,20.054,38.4776,326
Maldives,3.227,73.1784,327
Hawaiian Islands,19.8766,-155.6306,328
Caribbean Sea,15.0012,-74.9294,329
Great Barrier Reef,-18.2657,147.6898,330
Hawaiian Islands,19.9258,-155.5665,331
South China Sea,9.9852,115.0084,332
Galápagos,-0.8879,-90.9715,333
Red Sea,19.9989,38.45,334
Caribbean Sea,14.9881,-75.0183,335
Red Sea,19.9839,38.5609,336
Red Sea,20.0202,38.4988,337
South China Sea,10.0594,114.9768,338
South China Sea,10.0293,114.9763,339
Great Barrier Reef,-18.1902,147.6492,340
Caribbean Sea,15.0175,-74.9755,341
Hawaiian Islands,19.8847,-155.5492,342
Galápagos,-0.8984,-90.9716,343
Great Barrier Reef,-18.2916,147.7158,344
South China Sea,10.0257,114.987,345
Galápagos,-0.8995,-90.9924,346
Great Barrier Reef,-18.2983,147.6817,347
Great Barrier Reef,-18.3679,147.6465,348
Great Barrier Reef,-18.2923,147.6908,349
Caribbean Sea,15.0119,-74.9512,350
Hawaiian Islands,19.7616,-155.5489,351
Maldives,3.2715,73.2138,352
Maldives,3.2848,73.2578,353
Maldives,3.1606,73.3292,354
Maldives,3.205,73.3055,355
Maldives,3.1368,73.1901,356
Caribbean Sea,14.9297,-75.0042,357
South China Sea,9.9271,114.9845,358
Maldives,3.109,73.2265,359
Red Sea,19.9624,38.484,360
Galápagos,-0.8587,-90.9686,361
Great Barrier Reef,-18.3663,147.7126,362
Maldives,3.1786,73.228,363
Galápagos,-0.9984,-91.0732,364
Great Barrier Reef,-18.2937,147.703,365
Hawaiian Islands,19.9189,-155.6373,366
Maldives,3.2382,73.2324,367
Galápagos,-0.9357,-91.0228,368
Hawaiian Islands,19.8904,-155.6769,369
Great Barrier Reef,-18.3385,147.7625,370
Red Sea,19.9677,38.5888,371
South China Sea,9.9665,115.0696,372
Red Sea,19.9933,38.5405,373
Hawaiian Islands,19.8137,-155.5312,374
Galápagos,-1.0091,-90.9763,375
South China Sea,10.0698,114.9719,376
Galápagos,-0.9056,-90.8848,377
Great Barrier Reef,-18.2731,147.6587,378
Great Barrier Reef,-18.2598,147.6995,379
South China Sea,9.9815,114.9871,380
Red Sea,20.0348,38.4833,381
Maldives,3.2252,73.1422,382
Red Sea,20.0866,38.6116,383
Great Barrier Reef,-18.3142,147.6598,384
South China Sea,9.901,115.0374,385
Hawaiian Islands,19.8508,-155.7093,386
Red Sea,19.9385,38.5248,387
Red Sea,19.9249,38.5127,388
South China Sea,10.0154,114.9804,389
Red Sea,19.9815,38.5189,390
Hawaiian Islands,19.8081,-155.5197,391
South China Sea,10.0687,114.8932,392
Hawaiian Islands,19.8941,-155.5685,393
Hawaiian Islands,19.9013,-155.5927,394
Red Sea,20.0297,38.353,395
Hawaiian Islands,19.8774,-155.5266,396
South China Sea,9.9514,114.931,397
Caribbean Sea,15.0257,-74.9637,398
South China Sea,10.04,115.0377,399
Caribbean Sea,15.0535,-75.0013,400
Galápagos,-0.9876,-90.9728,401
Galápagos,-0.9431,-90.9655,402
Red Sea,19.9196,38.4619,403
South China Sea,9.9903,114.9868,404
Galápagos,-0.9508,-90.9517,405
Hawaiian Islands,19.906,-155.4928,406
Great Barrier Reef,-18.2467,147.6505,407
South China Sea,10.138,115.0196,408
Red Sea,19.9653,38.4795,409
Galápagos,-0.8977,-90.9656,410
Great Barrier Reef,-18.2458,147.6558,411
Galápagos,-0.9948,-90.9894,412
Great Barrier Reef,-18.2446,147.6923,413
Galápagos,-0.9829,-91.0875,414
Hawaiian Islands,19.9451,-155.521,415
South China Sea,9.9842,115.0308,416
Red Sea,20.0,38.5301,417
Red Sea,19.939,38.4746,418
Maldives,3.2191,73.2357,419
Great Barrier Reef,-18.2909,147.7327,420
Great Barrier Reef,-18.2683,147.6541,421
Red Sea,20.0821,38.455,422
Red Sea,19.9728,38.4919,423
Great Barrier Reef,-18.3128,147.6878,424
Galápagos,-0.8332,-90.9264,425
South China Sea,10.0274,114.941,426
Galápagos,-0.9319,-90.9646,427
Red Sea,19.9713,38.5051,428
Hawaiian Islands,19.905,-155.5803,429
Hawaiian Islands,19.9713,-155.6628,430
Hawaiian Islands,19.888,-155.4997,431
Maldives,3.172,73.2019,432
South China Sea,9.9444,115.0123,433
Hawaiian Islands,19.846,-155.6233,434
Great Barrier Reef,-18.2377,147.6954,435
South China Sea,10.1045,114.9196,436
Hawaiian Islands,19.8873,-155.6007,437
Galápagos,-0.8771,-91.0368,438
Caribbean Sea,14.9201,-74.9769,439
Red Sea,19.9669,38.5213,440
South China Sea,10.0902,114.9905,441
Caribbean Sea,15.0236,-74.9258,442
Hawaiian Islands,19.8343,-155.5526,443
Caribbean Sea,15.0133,-75.0218,444
Caribbean Sea,14.9821,-75.0324,445
Red Sea,20.0661,38.571,446
Red Sea,19.9658,38.5395,447
Red Sea,20.0365,38.5007,448
Red Sea,20.0053,38.5292,449
Hawaiian Islands,19.902,-155.6277,450
Caribbean Sea,14.9936,-74.9244,451
Caribbean Sea,15.0182,-74.9557,452
Galápagos,-0.932,-90.9454,453
Caribbean Sea,15.0596,-75.0889,454
Red Sea,20.0174,38.4756,455
Great Barrier Reef,-18.3414,147.7332,456
South China Sea,9.9137,114.9661,457
Galápagos,-0.9307,-90.9264,458
South China Sea,10.0869,115.0489,459
Maldives,3.2289,73.2416,460
South China Sea,10.0526,114.9501,461
Great Barrier Reef,-18.1316,147.7295,462
Red Sea,19.984,38.5898,463
Red Sea,20.0211,38.5419,464
Great Barrier Reef,-18.2651,147.7381,465
Hawaiian Islands,19.9302,-155.6374,466
Red Sea,19.9853,38.4964,467
Galápagos,-0.925,-90.9406,468
Hawaiian Islands,19.9317,-155.5618,469
South China Sea,10.0549,114.9761,470
Hawaiian Islands,19.9498,-155.5519,471
Galápagos,-0.9407,-90.9841,472
Maldives,3.1513,73.1531,473
Caribbean Sea,15.0767,-75.0268,474
Galápagos,-0.9616,-90.993,475
Hawaiian Islands,19.9692,-155.6008,476
Caribbean Sea,14.9518,-75.0479,477
Caribbean Sea,14.9621,-75.0115,478
Maldives,3.1105,73.1742,479
South China Sea,9.9275,114.9539,480
Galápagos,-0.9899,-90.9568,481
Caribbean Sea,15.067,-75.065,482
Red Sea,20.0409,38.5769,483
Hawaiian Islands,19.9104,-155.5552,484
Galápagos,-0.9014,-90.9071,485
Red Sea,20.0257,38.5286,486
Great Barrier Reef,-18.2589,147.6482,487
South China Sea,9.9815,114.9934,488
Red Sea,20.0875,38.5691,489
Caribbean Sea,15.0132,-74.9853,490
Great Barrier Reef,-18.3329,147.6576,491
Hawaiian Islands,19.9712,-155.6118,492
Great Barrier Reef,-18.2833,147.7363,493
Hawaiian Islands,19.9412,-155.621,494
Great Barrier Reef,-18.2335,147.8174,495
Galápagos,-0.9177,-90.9771,496
Maldives,3.1725,73.3067,497
Caribbean Sea,15.043,-75.0194,498
Red Sea,19.9993,38.4655,499
Red Sea,20.0407,38.4861,500
